"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Verify user can visit MAN page","firefox","2026-04-15","skipped","2026-04-15","MAN - Visit Page","agent-studio\man\man.visit.spec.ts","",""
"","0","@regression Create Destination","webkit","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Create Variant","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Components Deployment","agent-studio\componentsDeployment.spec.ts","",""
"","53147","Verify user can create new AGP rule","firefox","2026-02-19","failed","2026-02-19","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","59377","@regression @ui AGP-002 Verify user can create new AGP rule","chromium","2026-02-24","failed","2026-02-24","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","0","Verify Pending Tickets count is visible","webkit","2026-04-15","skipped","2026-04-15","Agent Studio – Overview","agent-studio\overview\overview.spec.ts","",""
"","0","Verify MAN Deployment Observability","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","1","@negative Invalid Destination Port","webkit","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","Edit Project","firefox","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","@regression Create Destination","webkit","2026-02-20","skipped","2026-02-20","ETL Module Tests","agent-studio\etl.spec.js","",""
"","0","Verify user can select project and flow","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","60923","@ui AGP-003 Verify Create Rule button is visible and enabled","webkit","2026-02-20","broken","2026-02-20","Agent Studio - AGP Module","agent-studio\agp.spec.js","",""
"","61556","Verify Try Live Chat","chromium","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","@sanity Create Source","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - ETL Module","agent-studio\etl.spec.ts","",""
"","0","Verify MAN deployment status","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - MAN Deployment Module","agent-studio\man-deployment\manDeployment.spec.ts","",""
"","0","Delete Project","firefox","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify Flow Deployment Observability","firefox","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","0","Unregistered email should not login","firefox","2026-04-15","skipped","2026-04-15","Authentication – Negative Login","auth\login.negative.spec.js","",""
"","0","Verify Projects Observability","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Observability Module","agent-studio\observability.spec.ts","",""
"","51891","Global Login Setup","setup","2026-02-24","passed","2026-02-24","","setup\auth.setup.spec.js","",""
"","0","Verify user can open Flow Deployment page","chromium","2026-04-15","skipped","2026-04-15","Agent Studio - Flow Deployment Module","agent-studio\flow-deployment\flowDeployment.spec.ts","",""
"","62823","Verify Search Functionality","webkit","2026-04-15","broken","2026-04-15","AI Marketplace Module","marketplace\marketplace.spec.ts","",""
"","0","@regression Create Connection and Sync","webkit","2026-02-24","skipped","2026-02-24","Agent Studio - ETL Module","agent-studio\etl.spec.js","",""
"","0","Delete Project","webkit","2026-04-15","skipped","2026-04-15","Vanij Agent Studio - Projects Module","agent-studio\projects.spec.ts","",""
"","0","Verify user can login using Email + OTP","webkit","2026-04-15","skipped","2026-04-15","Authentication – OTP Login","auth\login.otp.spec.js","",""
