"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65399","Login → Agent Studio → Projects → Create Project → Create Flow","chromium","2026-05-11","passed","2026-05-11","Vanij Agent Studio - Complete Workflow","agent-studio\projects.spec.ts","",""
"","76756","Login → Agent Studio → Projects → Create Project → Create Flow","webkit","2026-05-11","passed","2026-05-11","Vanij Agent Studio - Complete Workflow","agent-studio\projects.spec.ts","",""
"","70251","Login → Agent Studio → Projects → Create Project → Create Flow","msedge","2026-05-11","passed","2026-05-11","Vanij Agent Studio - Complete Workflow","agent-studio\projects.spec.ts","",""
"","94108","Login → Agent Studio → Projects → Create Project → Create Flow","firefox","2026-05-11","passed","2026-05-11","Vanij Agent Studio - Complete Workflow","agent-studio\projects.spec.ts","",""
